event_id,prog_id,prog_name,event_class,event_title,event_venue,event_country,event_date,race_year,starters_count,finishers_count,dnf_count,finish_rate_pct,scorers_count,scoring_success_rate_pct,last_scoring_pos,zero_point_finishers,gap_1st_3rd_sec,gap_1st_10th_sec,gap_1st_30th_sec,gap_10th_30th_sec,gap_1st_last_scorer_sec,bike_pack1_size,winner_from_pack1_flag,top10_pack1_ratio_pct,scorers_pack1_ratio_pct,bike_expansion_ratio,bike_front_pack_retention,bike_solo_breakaway,swim_winner_deficit,swim_avg_pos_top10,swim_avg_pos_top30,swim_avg_pos_scorers,swim_weak_survivors_top30,swim_weak_scorers_count,swim_leader_survival_rate,swim_front_survivors,swim_dispersion_top30,bike_off_dispersion_top30,bike_off_dispersion_scorers,bike_gap_1st_10th,bike_gap_1st_30th,bike_move_up_count_top30,bike_move_up_count_scorers,run_dominance_top10,run_positions_gained_top10,run_positions_gained_top30,run_positions_gained_scorers,run_slowest_rank_top30,run_slowest_rank_scorers,run_gap_1st_10th,run_dominance_sec,run_winner_rank,run_fastest_deficit,run_time_volatility_top30,rank_winner,rank_avg_top3,rank_avg_top10,rank_avg_top30,rank_avg_scorers,rank_upset_count_top30,rank_upset_count_scorers,rank_correlation,rank_volatility_top10,rank_volatility_scorers,rank_overperformers_top20,rank_winner_is_top_ranked,rank_podium_is_top_ranked
194997,676056,Elite Women,continental_cup,2025 Asia Triathlon Cup Chongqing,Changshou District,China,2025-10-18,2025,16,9,7,56.3,6,66.7,6,3,269,,,,487,1,1,11.1,16.7,77.97,9,0,1.0,4.9,4.9,5.2,0,0,90.0,9,3.33,259.9,115.12,,,0,0,9,-0.1,-0.1,-0.2,9,8,,13.0,2,293.0,118.18,38,78.7,142.3,142.3,115.0,8,6,0.76664031044896941,80.7,74.4,8,1,1
188992,674811,Elite Men,wtcs,2025 World Triathlon Championship Finals Wollongong,Wollongong,Australia,2025-10-15,2025,52,49,3,94.2,47,95.9,47,2,40,91,277,186,466,7,1,50.0,14.9,3.56,8,0,0.0,13.1,16.4,24.2,2,16,90.0,8,11.83,42.14,89.61,228.0,64.0,5,8,7,3.8,0.5,-1.0,47,47,90.0,20.0,3,58.0,65.24,1,5.0,9.1,25.0,34.5,17,27,0.5637279823678305,9.4,27.2,10,1,1
188992,674812,Elite Women,wtcs,2025 World Triathlon Championship Finals Wollongong,Wollongong,Australia,2025-10-15,2025,39,35,4,89.7,30,85.7,30,5,26,68,332,264,332,6,1,40.0,16.7,1.33,5,0,2.0,13.4,17.8,17.8,3,3,80.0,6,18.18,24.1,24.1,63.0,70.0,5,5,10,4.6,-0.9,-0.9,33,33,4.0,14.0,6,62.0,85.65,1,6.0,8.4,30.7,30.7,21,21,0.61836157833293637,4.6,31.6,14,1,1
194905,673978,Elite Men,continental_cup,2025 Europe Triathlon Cup Tenerife - Santa Cruz,Tenerife - Santa Cruz,Spain,2025-10-12,2025,70,63,7,90.0,57,90.5,57,6,15,39,84,45,240,54,1,100.0,91.2,0.39,5,0,28.0,34.0,34.3,31.7,15,29,30.0,9,7.86,3.06,11.91,5.0,9.0,20,22,9,6.3,2.2,-1.4,35,60,45.0,7.0,1,0.0,21.6,146,246.7,252.6,331.5,400.9,29,50,0.54890194150368443,89.7,206.0,19,0,0
194317,673998,Elite Men,continental_cup,2025 Africa Triathlon Cup Kilifi,Kilifi,Kenya,2025-10-12,2025,30,23,7,76.7,10,43.5,10,13,10,187,,,187,6,1,60.0,60.0,1.98,10,0,10.0,6.7,12.7,6.7,0,0,90.0,8,380.19,753.54,52.35,152.0,,0,0,9,0.0,0.4,0.0,24,12,135.0,4.0,1,0.0,241.5,150,138.3,250.7,334.5,250.7,14,10,0.66565715841292816,171.3,171.3,14,0,0
194317,673999,Elite Women,continental_cup,2025 Africa Triathlon Cup Kilifi,Kilifi,Kenya,2025-10-12,2025,6,6,0,100.0,4,66.7,4,2,20,,,,181,4,1,66.7,100.0,3.05,6,0,0.0,3.5,3.5,2.5,0,0,100.0,4,139.9,426.18,4.03,,,0,0,6,0.0,0.0,0.0,6,4,,8.0,1,0.0,306.41,178,122.0,233.6,233.6,116.0,5,4,0.62548419303469094,265.4,41.7,5,0,1
194905,673979,Elite Women,continental_cup,2025 Europe Triathlon Cup Tenerife - Santa Cruz,Tenerife - Santa Cruz,Spain,2025-10-12,2025,65,64,1,98.5,56,87.5,56,8,3,44,93,49,265,46,1,100.0,82.1,0.87,4,0,32.0,14.0,23.7,28.6,10,26,72.7,11,13.47,11.68,34.3,,11.0,10,12,9,13.9,3.9,-0.7,33,64,38.0,4.0,1,0.0,27.08,68,77.0,158.8,264.4,359.4,28,51,0.63665582951270294,76.3,221.9,19,0,1
194740,673973,Elite Men,continental_cup,2025 Asia Triathlon Cup Wuxi,Wuxi,China,2025-10-11,2025,0,0,0,,0,,,0,,,,,,0,0,,,,0,0,,,,,0,0,,0,,,,,,0,0,0,,,,,,,,,0.0,,,,,,,0,0,,,,0,0,0
194740,673974,Elite Women,continental_cup,2025 Asia Triathlon Cup Wuxi,Wuxi,China,2025-10-11,2025,0,0,0,,0,,,0,,,,,,0,0,,,,0,0,,,,,0,0,,0,,,,,,0,0,0,,,,,,,,,0.0,,,,,,,0,0,,,,0,0,0
194272,673967,Elite Men,continental_cup,2025 Europe Triathlon Cup Ceuta,Ceuta,Spain,2025-10-05,2025,65,59,6,90.8,47,79.7,47,12,29,51,97,46,226,47,1,100.0,100.0,0.41,2,0,11.0,22.0,25.3,26.3,11,19,63.6,9,12.73,5.24,5.66,,,11,15,10,10.4,4.1,-1.2,32,56,45.0,9.0,1,0.0,25.45,260,439.3,507.7,495.1,546.5,20,33,0.30826045936077645,217.7,211.6,14,0,0
